study_ID,author_first,year,extracted,thermal_strategy,taxa,species,species_OTL,origin,setting,age,sex,mean_mass_g,lon,lat,trt_temp,bio_hier,trait,response,response_unit,mass_corrected,disp_trait,disp_unit,measure_time_h,time_lag_days,sample_size,chi,F,t,df,corr_coeff,corr_corrected,dispersal_def,notes,title,ref
87,Kluen,2014,Table 2,Endotherm,Aves,Cyanistes caeruleus,Cyanistes caeruleus,wild,wild,Adult,Mixed,,23.516667,60.016667,,Macromolecule,Immunity,WBC,n,n,Activity,n,0.333333,,485,,,,,0.065,n,,phenotypic,Testing for between individual correlations of personality and physiological traits in a wild bird,https://link.springer.com/article/10.1007/s00265-013-1635-1
87,Kluen,2014,Table 2,Endotherm,Aves,Cyanistes caeruleus,Cyanistes caeruleus,wild,wild,Adult,Mixed,,,,,Cellular,Cardiovascular,Haematocrit,%,n,Activity,n,0.333333,,485,,,,,0.015,n,,phenotypic,,
87,Kluen,2014,Table 2,Endotherm,Aves,Cyanistes caeruleus,Cyanistes caeruleus,wild,wild,Adult,Mixed,,,,,Macromolecule,Immunity,WBC,n,n,Activity,n,0.333333,,485,,,,,0.17,n,,among,,
87,Kluen,2014,Table 2,Endotherm,Aves,Cyanistes caeruleus,Cyanistes caeruleus,wild,wild,Adult,Mixed,,,,,Macromolecule,Cardiovascular,Haematocrit,%,n,Activity,n,0.333333,,485,,,,,-0.13,n,,among,,
88,Seebacher,2021,raw data,Ectotherm,Osteichthyes,Gambusia_affinis,Gambusia affinis,wild,indoor lab,Adult,Male,0.16,151.247778,-33.775833,18,Organism,Locomotor capacity,Ucrit,BL s,y,Activity,m s,0.333333,,12,,,,,-0.47937212,n,,,"Water flow and temperature interact to determine oxidative status, swimming performance, and dispersal of mosquitofish (Gambusia holbrooki)",https://onlinelibrary.wiley.com/doi/full/10.1111/fwb.13722
88,Seebacher,2021,raw data,Ectotherm,Osteichthyes,Gambusia_affinis,Gambusia affinis,wild,indoor lab,Adult,Male,0.16,,,28,Organism,Locomotor capacity,Ucrit,BL s,y,Activity,m s,0.333333,,13,,,,,-0.075425553,n,,,,
88,Seebacher,2021,raw data,Ectotherm,Osteichthyes,Gambusia_affinis,Gambusia affinis,wild,indoor lab,Adult,Male,0.16,,,18,Organism,Locomotor capacity,Ucrit,BL s,y,Activity,m s,0.333333,,11,,,,,0.12332218,n,,,,
88,Seebacher,2021,raw data,Ectotherm,Osteichthyes,Gambusia_affinis,Gambusia affinis,wild,indoor lab,Adult,Male,0.16,,,28,Organism,Locomotor capacity,Ucrit,BL s,y,Activity,m s,0.333333,,13,,,,,0.459849425,n,,,,
88,Seebacher,2021,raw data,Ectotherm,Osteichthyes,Gambusia_affinis,Gambusia affinis,wild,indoor lab,Adult,Male,0.16,,,18,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,n,0.333333,,12,,,,,-0.57873268,n,# dispersal decisions,,,
88,Seebacher,2021,raw data,Ectotherm,Osteichthyes,Gambusia_affinis,Gambusia affinis,wild,indoor lab,Adult,Male,0.16,,,28,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,n,0.333333,,13,,,,,0.680148109,n,,,,
88,Seebacher,2021,raw data,Ectotherm,Osteichthyes,Gambusia_affinis,Gambusia affinis,wild,indoor lab,Adult,Male,0.16,,,18,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,n,0.333333,,11,,,,,-0.117881554,n,,,,
88,Seebacher,2021,raw data,Ectotherm,Osteichthyes,Gambusia_affinis,Gambusia affinis,wild,indoor lab,Adult,Male,0.16,,,28,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,n,0.333333,,13,,,,,0.349324028,n,,,,
88,Seebacher,2021,raw data,Ectotherm,Osteichthyes,Gambusia_affinis,Gambusia affinis,wild,indoor lab,Adult,Male,0.16,,,18,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,s,0.333333,,12,,,,,-0.771357488,y,time to leave first pool (s) after barrier was lifte,,,
88,Seebacher,2021,raw data,Ectotherm,Osteichthyes,Gambusia_affinis,Gambusia affinis,wild,indoor lab,Adult,Male,0.16,,,28,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,s,0.333333,,13,,,,,0.308881721,y,,,,
88,Seebacher,2021,raw data,Ectotherm,Osteichthyes,Gambusia_affinis,Gambusia affinis,wild,indoor lab,Adult,Male,0.16,,,18,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,s,0.333333,,11,,,,,-0.334129992,y,,,,
88,Seebacher,2021,raw data,Ectotherm,Osteichthyes,Gambusia_affinis,Gambusia affinis,wild,indoor lab,Adult,Male,0.16,,,28,Organism,Locomotor capacity,Ucrit,BL s,y,Exploration,s,0.333333,,13,,,,,0.311889196,y,,,,
